,location,date,vaccine,total_vaccinations
345,Argentina,2021-04-27,Sputnik V,4524916
346,Argentina,2021-04-28,Oxford/AstraZeneca,1542900
347,Argentina,2021-04-28,Pfizer/BioNTech,25
348,Argentina,2021-04-28,Sinopharm/Beijing,1922302
349,Argentina,2021-04-28,Sputnik V,4603841
350,Argentina,2021-04-29,Oxford/AstraZeneca,1581643
351,Argentina,2021-04-29,Sinopharm/Beijing,1962434
352,Argentina,2021-04-29,Sputnik V,4681281
353,Argentina,2021-04-30,Oxford/AstraZeneca,1612190
354,Argentina,2021-04-30,Sinopharm/Beijing,1998598
355,Argentina,2021-04-30,Sputnik V,4729538
356,Argentina,2021-05-01,Oxford/AstraZeneca,1617448
357,Argentina,2021-05-01,Sinopharm/Beijing,2002311
358,Argentina,2021-05-01,Sputnik V,4740873
359,Argentina,2021-05-02,Oxford/AstraZeneca,1624040
360,Argentina,2021-05-02,Sinopharm/Beijing,2016443
361,Argentina,2021-05-02,Sputnik V,4760327
362,Argentina,2021-05-03,Oxford/AstraZeneca,1647653
363,Argentina,2021-05-03,Pfizer/BioNTech,26
364,Argentina,2021-05-03,Sinopharm/Beijing,2090412
365,Argentina,2021-05-03,Sputnik V,4837479
366,Argentina,2021-05-04,Oxford/AstraZeneca,1671255
367,Argentina,2021-05-04,Sinopharm/Beijing,2184514
368,Argentina,2021-05-04,Sputnik V,4951847
369,Argentina,2021-05-05,Oxford/AstraZeneca,1696172
370,Argentina,2021-05-05,Sinopharm/Beijing,2263097
371,Argentina,2021-05-05,Sputnik V,5093375
372,Argentina,2021-05-06,Oxford/AstraZeneca,1714009
373,Argentina,2021-05-06,Pfizer/BioNTech,27
374,Argentina,2021-05-06,Sinopharm/Beijing,2327695
375,Argentina,2021-05-06,Sputnik V,5213771
376,Argentina,2021-05-07,CanSino,6
377,Argentina,2021-05-07,Oxford/AstraZeneca,1727971
378,Argentina,2021-05-07,Sinopharm/Beijing,2423811
379,Argentina,2021-05-07,Sputnik V,5309092
380,Argentina,2021-05-08,Oxford/AstraZeneca,1732029
381,Argentina,2021-05-08,Sinopharm/Beijing,2465432
382,Argentina,2021-05-08,Sputnik V,5337697
383,Argentina,2021-05-09,Oxford/AstraZeneca,1733769
384,Argentina,2021-05-09,Sinopharm/Beijing,2468933
385,Argentina,2021-05-09,Sputnik V,5351155
386,Argentina,2021-05-10,Oxford/AstraZeneca,1743693
387,Argentina,2021-05-10,Sinopharm/Beijing,2533091
388,Argentina,2021-05-10,Sputnik V,5418759
389,Argentina,2021-05-11,Moderna,6
390,Argentina,2021-05-11,Oxford/AstraZeneca,1751960
391,Argentina,2021-05-11,Pfizer/BioNTech,28
392,Argentina,2021-05-11,Sinopharm/Beijing,2597924
393,Argentina,2021-05-11,Sputnik V,5486127
394,Argentina,2021-05-12,Moderna,7
395,Argentina,2021-05-12,Oxford/AstraZeneca,1757740
396,Argentina,2021-05-12,Sinopharm/Beijing,2737280
397,Argentina,2021-05-12,Sputnik V,5538621
398,Argentina,2021-05-13,Oxford/AstraZeneca,1763436
399,Argentina,2021-05-13,Sinopharm/Beijing,2885996
400,Argentina,2021-05-13,Sputnik V,5576375
401,Argentina,2021-05-14,Oxford/AstraZeneca,1772643
402,Argentina,2021-05-14,Sinopharm/Beijing,3034337
403,Argentina,2021-05-14,Sputnik V,5615360
404,Argentina,2021-05-15,Oxford/AstraZeneca,1775722
405,Argentina,2021-05-15,Sinopharm/Beijing,3084783
406,Argentina,2021-05-15,Sputnik V,5656934
407,Argentina,2021-05-16,Oxford/AstraZeneca,1777197
408,Argentina,2021-05-16,Sinopharm/Beijing,3128093
409,Argentina,2021-05-16,Sputnik V,5679749
410,Argentina,2021-05-17,Oxford/AstraZeneca,1784500
411,Argentina,2021-05-17,Sinopharm/Beijing,3223839
412,Argentina,2021-05-17,Sputnik V,5763674
413,Argentina,2021-05-18,Oxford/AstraZeneca,1794293
414,Argentina,2021-05-18,Sinopharm/Beijing,3268780
415,Argentina,2021-05-18,Sputnik V,5907221
416,Argentina,2021-05-19,Oxford/AstraZeneca,1801644
417,Argentina,2021-05-19,Pfizer/BioNTech,29
